"Channel","Probability"
"1",0.0134038800705467
"2",0.00776014109347443
"3",0.00168136390358613
"4",0.0107231040564374
"5",0.0123456790123457
"6",0.00877131099353321
"7",0.00184597295708407
"8",0.011875367430923
"9",0.0096061140505585
"10",0.0079482657260435
"11",0.00158730158730159
"12",0.00932392710170488
"13",0.0130511463844797
"14",0.0102880658436214
"15",0.00146972369194591
"16",0.0146972369194591
"17",0.0134038800705467
"18",0.00776014109347443
"19",0.00168136390358613
"20",0.0107231040564374
"21",0.0123456790123457
"22",0.00877131099353321
"23",0.00184597295708407
"24",0.011875367430923
"25",0.0096061140505585
"26",0.0079482657260435
"27",0.00158730158730159
"28",0.00932392710170488
"29",0.0130511463844797
"30",0.0102880658436214
"31",0.00146972369194591
"32",0.0146972369194591
"33",0.0134038800705467
"34",0.00776014109347443
"35",0.00168136390358613
"36",0.0107231040564374
"37",0.0123456790123457
"38",0.00877131099353321
"39",0.00184597295708407
"40",0.011875367430923
"41",0.0096061140505585
"42",0.0079482657260435
"43",0.00158730158730159
"44",0.00932392710170488
"45",0.0130511463844797
"46",0.0102880658436214
"47",0.00146972369194591
"48",0.0146972369194591
"49",0.0137566137566138
"50",0.00890064667842446
"51",0.01222810111699
"52",0.0165784832451499
"53",0.00859494415049971
"54",0.0112286890064668
"55",0.0135214579659024
"56",0.0132863021751911
"57",0.00756025867136978
"58",0.00630217519106408
"59",0.0100176366843034
"60",0.00972369194591417
"61",0.0138741916519694
"62",0.0131687242798354
"63",0.012580834803057
"64",0.0256319811875367
"65",0.0137566137566138
"66",0.00890064667842446
"67",0.01222810111699
"68",0.0165784832451499
"69",0.00859494415049971
"70",0.0112286890064668
"71",0.0135214579659024
"72",0.0132863021751911
"73",0.00756025867136978
"74",0.00630217519106408
"75",0.0100176366843034
"76",0.00972369194591417
"77",0.0138741916519694
"78",0.0131687242798354
"79",0.012580834803057
"80",0.0256319811875367
"81",0.0137566137566138
"82",0.00890064667842446
"83",0.01222810111699
"84",0.0165784832451499
"85",0.00859494415049971
"86",0.0112286890064668
"87",0.0135214579659024
"88",0.0132863021751911
"89",0.00756025867136978
"90",0.00630217519106408
"91",0.0100176366843034
"92",0.00972369194591417
"93",0.0138741916519694
"94",0.0131687242798354
"95",0.012580834803057
"96",0.0256319811875367
